model,scenario,nudge,with_rag,product_pair,consumer_country,consumer_source,consumer_age_band,price_elasticity,brand_loyalty,digital_affinity,latency_sec,choice,confidence,primary_reason,reasoning,would_buy_at_all,price_too_high,parse_success,rag_condition
llama3,product_choice,none,True,TechBrand Wireless E vs SoundCore Wireless E,Germany,uci,Unknown,0.9989965682634612,0.5,0.6,52.34,B,7,price,"The significant price difference between the two products makes Product B a more attractive option for me, considering my high price sensitivity.",True,True,True,with_rag
llama3,product_choice,none,False,TechBrand Wireless E vs SoundCore Wireless E,Germany,uci,Unknown,0.9989965682634612,0.5,0.6,35.8,B,8,price,I'm highly price-sensitive and SoundCore Wireless Earbuds are significantly cheaper than TechBrand. This is a rare opportunity for me to get a good product at a price I'm comfortable with.,True,False,True,no_rag
llama3,product_choice,none,True,TechBrand Wireless E vs SoundCore Wireless E,Belgium,uci,Unknown,0.8022513920685668,0.5,0.6,39.83,B,8,price,"I'm very price-sensitive and value-driven, so the lower price of Product B is a major factor in my decision.",True,False,True,with_rag
llama3,product_choice,none,False,TechBrand Wireless E vs SoundCore Wireless E,Belgium,uci,Unknown,0.8022513920685668,0.5,0.6,32.21,B,8,price,"The lower price of Product B outweighs the slightly lower rating and fewer reviews, making it a more attractive option for me given my high price sensitivity.",True,False,True,no_rag
llama3,product_choice,none,True,TechBrand Wireless E vs SoundCore Wireless E,United Kingdom,uci,Unknown,0.9149136199648952,0.5,0.6,38.13,B,8,price,"The significant price difference between the two products made me choose the more affordable option, SoundCore Wireless Earbuds.",True,True,True,with_rag
llama3,product_choice,none,False,TechBrand Wireless E vs SoundCore Wireless E,United Kingdom,uci,Unknown,0.9149136199648952,0.5,0.6,29.36,B,8,price,"The lower price point of Product B makes it more attractive to me, given my high price sensitivity.",True,False,True,no_rag
llama3,product_choice,none,True,TechBrand Wireless E vs SoundCore Wireless E,USA,amazon,Unknown,0.5,0.6666666666666667,0.3333333333333333,36.65,B,7,price,"Product B is significantly cheaper than Product A, which aligns with my moderate price sensitivity.",True,False,True,with_rag
llama3,product_choice,none,False,TechBrand Wireless E vs SoundCore Wireless E,USA,amazon,Unknown,0.5,0.6666666666666667,0.3333333333333333,27.16,A,7,brand,Strong brand loyalty towards TechBrand and its reputation for quality products.,True,False,True,no_rag
llama3,product_choice,none,True,TechBrand Wireless E vs SoundCore Wireless E,USA,amazon,Unknown,0.5,0.7777777777777778,0.2222222222222222,35.45,B,7,price,"The price difference between the two products is significant, and I'm a moderate price-conscious consumer.",True,False,True,with_rag
llama3,product_choice,none,False,TechBrand Wireless E vs SoundCore Wireless E,USA,amazon,Unknown,0.5,0.7777777777777778,0.2222222222222222,29.4,A,8,brand,Strong brand loyalty towards TechBrand and moderate price sensitivity make me opt for the more expensive but trusted product.,True,False,True,no_rag
llama3,product_choice,none,True,TechBrand Wireless E vs SoundCore Wireless E,USA,amazon,Unknown,0.5,0.5555555555555556,0.4444444444444445,38.91,B,7,price,"I'm moderately price-sensitive, so the lower price point of Product B makes it a more attractive option.",True,False,True,with_rag
llama3,product_choice,none,False,TechBrand Wireless E vs SoundCore Wireless E,USA,amazon,Unknown,0.5,0.5555555555555556,0.4444444444444445,33.36,A,7,rating,"I'm willing to pay a premium for higher-rated products, and TechBrand has a great reputation in this category.",True,False,True,no_rag
llama3,product_choice,none,True,TechBrand Wireless E vs SoundCore Wireless E,Canada,global_wvs,Boomer,0.3634627657616281,0.3734984147314162,0.7061857250878424,40.74,B,8,price,"I'm willing to compromise on quality for a better price, especially since both products have similar ratings.",True,False,True,with_rag
